Date,Open,High,Low,Close,Adj Close,Volume
2018-05-25,18.200001,18.350000,18.160000,18.320000,17.865408,4357800
2018-05-29,18.049999,18.110001,17.879999,18.000000,17.553349,6198900
2018-05-30,18.059999,18.139999,17.920000,18.139999,17.689873,5033400
2018-05-31,18.180000,18.309999,18.160000,18.190001,17.738634,5804900
2018-06-01,18.270000,18.340000,18.219999,18.290001,17.836153,3014500
2018-06-04,18.370001,18.459999,18.350000,18.440001,17.982430,2353600
2018-06-05,18.299999,18.389999,18.180000,18.360001,17.904415,3035200
2018-06-06,18.459999,18.740000,18.420000,18.740000,18.274984,3208600
2018-06-07,18.730000,18.799999,18.559999,18.570000,18.109203,3023800
2018-06-08,18.580000,18.799999,18.559999,18.730000,18.265234,3615300
2018-06-11,18.730000,18.809999,18.639999,18.750000,18.284737,2573000
2018-06-12,18.799999,19.059999,18.770000,19.000000,18.528534,3733100
2018-06-13,19.000000,19.100000,18.809999,18.820000,18.353001,4798800
2018-06-14,18.490000,18.490000,18.150000,18.160000,18.160000,5523600
2018-06-15,18.590000,18.770000,18.559999,18.730000,18.730000,5640200
2018-06-18,18.500000,18.549999,18.410000,18.440001,18.440001,5441600
2018-06-19,18.299999,18.299999,18.150000,18.200001,18.200001,7693500
2018-06-20,18.219999,18.270000,18.139999,18.160000,18.160000,3679100
2018-06-21,18.230000,18.270000,18.160000,18.230000,18.230000,3727800
2018-06-22,18.389999,18.750000,18.299999,18.719999,18.719999,8143300
