State universities of India,,,,,,
Sr.No,University,Location,State,Applicability of Section 12 (B)?,Established,Specialization
90,Deenbandhu Chhotu Ram University of Science and Technology,,Murthal,Yes,2006,Technology
91,Guru Jambheshwar University of Science and Technology,,Hisar,Yes,1995,"Science, technology"
92,Kurukshetra University,,Kurukshetra,Yes,1956,General
93,Lala Lajpat Rai University of Veterinary and Animal Sciences,,Hisar,No,2010,Veterinary medicine
94,Maharishi Dayanand University,,Rohtak,Yes,1976,General
95,Pandit Bhagwat Dayal Sharma University of Health Sciences,,Rohtak,Yes,2008,Healthcare
96,YMCA University of Science and Technology,,Faridabad,Yes,2009,Technology
97,Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,Himachal Pradesh,Palampur,Yes,1978,Agriculture
98,Dr. Yashwant Singh Parmar University of Horticulture and Forestry,,Solan,Yes,1986,"Horticulture, forestry"
99,Himachal Pradesh Technical University,,Hamirpur,Yes,2010,Technology
100,Himachal Pradesh University,,Shimla,Yes,1970,General
101,Baba Ghulam Shah Badhshah University,Jammu and Kashmir,Rajauri,Yes,2005,General
102,Islamic University of Science and Technology,,Pulwama,No,2005,"Science, technology"
103,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,,Srinagar,Yes,1982,Agriculture
104,Shri Mata Vaishno Devi University,,Katra,Yes,2004,"Science, technology"
105,University of Jammu,,Jammu,Yes,1968,General
106,University of Kashmir,,Srinagar,Yes,1949,General
107,Birsa Agricultural University,Jharkhand,Ranchi,Yes,1980,Agriculture
108,Kolhan University,,Chaibasa,No,2007,General
109,National University of Study and Research in Law,,Ranchi,No,2010,Legal
110,Nilamber-Pitamber University,,Palamu,No,2007,General
111,Ranchi University,,Ranchi,Yes,1960,General
112,Sido Kanhu University,,Dumka,Yes,1992,General
113,Vinoba Bhave University,,Hazaribagh,Yes,1993,General
114,Bangalore University,Karnataka,Bangalore,Yes,1964,General
115,Davangere University,,Davangere,Yes,2009,General
116,Gulbarga University,,Gulbarga,Yes,1980,General
117,Kannada University,,Hampi,Yes,1992,Kannada
118,Karnatak University,,Dharwad,Yes,1949,General
119,Karnataka Samskrit University,,Bangalore,No,2010,Sanskrit
120,Karnataka State Law University,,Hubli,No,2009,Legal
121,Karnataka State Open University,,Mysore,No,1996,Distance education
122,Karnataka State Women's University,,Bijapur,Yes,2004,Women's only
123,"Karnataka Veterinary, Animal and Fisheries Sciences University",,Bidar,No,2004,Veterinary
124,KSGH Music and Performing Arts University,,Mysore,No,2009,Performing arts
125,Kuvempu University,,Shimoga,Yes,1987,General
126,Mangalore University,,Konaje,Yes,1980,General
127,National Law School of India University,,Bangalore,Yes,1992,Legal
128,Rajiv Gandhi University of Health Sciences,,Bangalore,No,1994,Healthcare
129,Rani Channamma University,,Belgaum,No,2010,General
130,Tumkur University,,Tumkur,No,2004,General
131,"University of Agricultural Sciences, Bangalore",,Bangalore,Yes,1964,Agricultural sciences
132,"University of Agricultural Sciences, Dharwad",,Dharwad,Yes,1986,Agricultural sciences
133,University of Mysore,,Mysore,Yes,1916,General
134,Visvesvaraya Technological University,,Belgaum,No,1999,Technology
135,Vijayanagara Sri Krishnadevaraya University,,Bellary,No,2010,General
136,Calicut University,Kerala,Tenhipalam,Yes,1968,General
137,Cochin University of Science and Technology,,Kalamassery,Yes,1971,Technology
138,Kannur University,,Kannur,Yes,1997,General
139,Kerala Agricultural University,,Thrissur,Yes,1972,Agriculture
140,Kerala University of Fisheries and Ocean Studies,,Kochi,Yes,2011,"Fisheries, oceanography"
141,Kerala University of Health Sciences,,Thrissur,Yes,2011,Healthcare
142,Kerala Veterinary and Animal Sciences University,,Wayanad,Yes,2011,"Veterinary, animal sciences"
143,Mahatma Gandhi University,,Kottayam,Yes,1983,General
144,National University of Advanced Legal Studies,,Kochi,No,2009,Legal
145,Sree Sankaracharya University of Sanskrit,,Kalady,Yes,1994,Sanskrit
146,University of Kerala,,Thiruvananthapuram,Yes,1937,General
147,Awdhesh Pratap Singh University,Madhya Pradesh,Rewa,Yes,1968,General
148,Barkatullah University,,Bhopal,Yes,1970,General
149,Devi Ahilya University,,Indore,Yes,1964,General
150,Jawaharlal Nehru Agricultural University,,Jabalpur,Yes,1964,Agriculture
151,Jiwaji University,,Gwalior,Yes,1964,General
152,Madhya Pradesh Bhoj Open University,,Bhopal,Yes,1995,Distance education
153,Maharishi Mahesh Yogi Vedic Vishwavidyalaya,,Katni,No,1995,General
154,Maharshi Panini Sanskrit University,,Ujjain,No,2008,Sanskrit
155,Mahatma Gandhi Chitrakoot Gramoday University,,Chitrakoot,Yes,1993,General
156,Makhanlal Chaturvedi National University of Journalism,,Bhopal,No,1991,"Journalism, communication"
157,National Law Institute University,,Bhopal,Yes,1998,Legal
158,Rajiv Gandhi Technical University,,Bhopal,Yes,2004,Technology
159,Rani Durgavati University,,Jabalpur,Yes,1957,General
160,Madhya Pradesh Pashu-Chikitsa Vigyan Vishwavidyalaya,,Jabalpur,No,2009,"Veterinary, fishery"
161,Vikram University,,Ujjain,Yes,1957,General
162,Dr. Babasaheb Ambedkar Marathwada University,Maharashtra,Aurangabad,Yes,1958,General
163,Dr. Babasaheb Ambedkar Technological University,,Lonere,Yes,1989,Technology
164,Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth,,Dapoli,Yes,1972,Agriculture
165,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,,Akola,Yes,1969,Agriculture
166,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,,Nagpur,No,1997,Sanskrit
167,Maharashtra Animal and Fishery Sciences University,,Nagpur,No,2002,"Veterinary, fishery"
168,Maharashtra University of Health Sciences,,Nashik,No,2000,Healthcare
169,Mahatma Phule Krishi Vidyapeeth,,Rahuri,Yes,1968,Agriculture
170,Marathwada Agricultural University,,Parbhani,Yes,1983,Agriculture
171,North Maharashtra University,,Jalgaon,Yes,1991,General
172,Rashtrasant Tukadoji Maharaj Nagpur University,,Nagpur,Yes,1923,General
173,Sant Gadge Baba Amravati University,,Amravati,Yes,1983,General
174,Shivaji University,,Kolhapur,Yes,1962,General
175,Shreemati Nathibai Damodar Thackersey Women's University,,Mumbai,Yes,1951,Women's only
176,Solapur University,,Solapur,No,2004,General
177,Swami Ramanand Teerth Marathwada University,,Nanded,Yes,1995,General
178,University of Mumbai,,Mumbai,Yes,1857,General
179,University of Pune,,Pune,Yes,1949,General
180,Yashwantrao Chavan Maharashtra Open University,,Nashik,Yes,1990,Distance education
181,Berhampur University,Orissa,Berhampur,Yes,1967,General
182,Biju Patnaik University of Technology,,Rourkela,No,2003,Technology
183,Fakir Mohan University,,Balasore,Yes,1999,General
184,"National Law University, Orissa",,Cuttack,No,2009,Legal
185,North Orissa University,,Baripada,Yes,1999,General
186,Orissa University of Agriculture and Technology,,Bhubaneswar,Yes,1962,Agriculture
187,Ravenshaw University,,Cuttack,Yes,2005,General
188,Sambalpur University,,Sambalpur,Yes,1967,General
